名称,状态,最优步数,类型
new8144,3750726254482328L,-1,24
new5644,4032201231192984L,-1,24
new8812,21957350574068124L,6,28
new1018,3978660789618556L,-1,28
new10977,21693368031823672L,3,24
new8060,21411927414851384L,4,24
new11242,21693402391562040L,4,24
new2255,21410285329944990L,5,30
new5669,12994304486961048L,0,24
new6086,12994304487026584L,0,24
new5635,21410285330207134L,6,30
new4411,2835649674752920L,-1,24
new6796,3996279466648476L,-1,28
new2025,3677955540964254L,3,30
new7427,3978660772579228L,-1,28
new1695,3950634408397470L,-1,30
new1989,3669159448464286L,-1,30
new7322,3978660772841372L,-1,28
new1782,2835649675473816L,11,24
new4305,3996279466386332L,-1,28
new4369,12685153721947038L,0,30
new2013,12685153721750430L,0,30
new3798,12685153722536862L,0,30
new4345,2835649675801496L,-1,24
new1277,21975117861013304L,4,24
new5295,21410019025457566L,5,30
new10677,21693677244041016L,6,24
new1264,21975152220751672L,5,24
new2230,21410019025195422L,4,30
new10125,19144251178898332L,-1,28
new11900,18651669952991900L,58,28
new7963,18025440443756440L,73,24
new352,20566436963734430L,7,30
new2076,3678230418871198L,4,30
new4527,19713225151016080L,-1,16
new9456,18025431854083992L,64,24
new10120,19144251179160476L,-1,28
new647,18104681951957406L,74,30
new5616,4032201256948632L,-1,24
new10174,12985850908911484L,0,28
new4743,3750726280762264L,7,24
new11901,19144251179553692L,17,28
new10017,12985850909173628L,0,28
new5651,4032201255900056L,-1,24
new5851,22001236354870424L,-1,24
new11068,18025498426568604L,-1,28
new5569,3750726279713688L,6,24
new7349,18018351274415004L,-1,28
new7351,18018351274152860L,-1,28
new8816,18018351274873756L,33,28
new2513,21410293896024478L,3,30
new2241,21410285306089886L,4,30
new11308,21693408809338680L,2,24
new6890,21974883785525048L,2,24
new5303,21693402366396216L,4,24
new7797,21974877343106872L,3,24
new2922,19712082692140432L,-1,16
new6798,3996279475037084L,-1,28
new2928,3678505296778142L,4,30
new535,19712391918972304L,-1,16
new6440,2552605389935518L,5,30
new2806,3389246314213272L,5,24
new2611,21683540778077022L,41,30
new10516,21410312483030364L,5,28
new10164,12985850908911516L,0,28
new2188,21410019018117534L,4,30
new4644,21410010428182942L,5,30
new10013,12985850909173660L,0,28
new6241,21975152229140280L,4,24
new308,18656593394593168L,-1,16
new9722,19425725090173852L,41,28
new4376,20270048015963032L,-1,24
new11893,19144251187286940L,-1,28
new3825,19425726163997596L,-1,28
new7905,19707200050107036L,32,28
new528,19713225142627472L,-1,16
new4390,20270048016225176L,-1,24
new11887,19144251187549084L,-1,28
new178,19431750165916816L,-1,16
new3820,19425726164259740L,-1,28
new2175,21410285312119198L,3,30
new1985,3669159448464222L,-1,30
new4983,21410293902315934L,3,30
new4665,21410285312381342L,4,30
new2442,21410293902053790L,2,30
new4461,20270048014914456L,-1,24
new4471,20270048015176600L,-1,24
new7537,18025509155041176L,59,24
new5914,22001236346416280L,3,24
new2960,18656559034920336L,69,16
new5913,22001236346481816L,-1,24
new2916,19712082681654672L,-1,16
new6075,3951921380290456L,5,24
new7738,18025474795302808L,60,24
new8814,18018351282803612L,-1,28
new5063,21973851603538332L,4,28
new8815,18018351282541468L,-1,28
new7426,3978660772579196L,-1,28
new7321,3978660772841340L,-1,28
new8018,21974842991757112L,3,24
new5661,12994304470183832L,0,24
new7807,21974877351495480L,4,24
new6084,12994304470249368L,0,24
new5458,21410293903364510L,4,30
new11317,12994304469921688L,0,24
new2577,21410293903102366L,3,30
new582,21401454942915392L,9,0
new278,3468512795051932L,-1,28
new2469,1426696969245598L,-1,30
new4496,618005655294360L,-1,24
new12126,2834069167682460L,-1,28
new346,3949499044424592L,9,16
new2425,1708171945956254L,-1,30
new2811,2269446351467422L,-1,30
new118,20284100947825564L,6,28
new5160,1708180535366558L,-1,30
new610,21401489302653760L,9,0
new114,20284100947891100L,5,28
new5246,1426705558655902L,-1,30
new5721,21410019074740638L,4,30
new5968,11276643997209502L,6,30
new3332,21410010484806046L,5,30
new373,20830560625415040L,-1,0
new4277,20336859520586640L,-1,16
new9425,21974083554840988L,5,28
new23,2269996081525407L,7,31
new5022,19422085173318544L,-1,16
new5027,19422086247076752L,-1,16
new2728,1144131088602014L,34,30
new6187,3380538158409374L,-1,30
new4916,19703560133251728L,35,16
new1594,19704660718637968L,-1,16
new1668,19422086246814608L,-1,16
new5395,19422085173056400L,-1,16
new2145,1144122498667422L,35,30
new2201,1144122498732958L,-1,30
new12127,2834069168731036L,-1,28
new4878,19703560132989584L,36,16
new5326,19704660718375824L,-1,16
new1666,20547986153591696L,36,16
new4018,20547985079833488L,45,16
new3820,20830560625152912L,36,16
new4773,20829460039766672L,-1,16
new147,1144131088143262L,-1,30
new7940,21692608579178908L,7,28
new5950,11276643996160926L,5,30
new4966,20547985080095632L,46,16
new4967,20547986153853840L,36,16
new1491,20830560625415056L,36,16
new4298,20336859519538064L,-1,16
new4919,20829460040028816L,-1,16
new10098,21974083555889564L,6,28
new8743,12967648821580696L,0,24
new3083,582271504331676L,23,28
new8663,18015844163228316L,27,28
new1524,1144096176845471L,16,31
new379,3662012622358334L,48,30
new6080,582272041210782L,28,30
new4552,20848116038521752L,7,24
new7530,18015844162966172L,26,28
new2890,3950890587548540L,4,28
new1765,1144095657268127L,15,31
new3756,12676357629447326L,0,30
new1680,3669415611362172L,4,28
new3921,582271503545244L,50,28
new1385,582280630621086L,24,30
new6622,18034577435415452L,38,28
new5035,18015826983359120L,-1,16
new3084,582271505380252L,22,28
new1599,1144096729453470L,37,30
new3195,22010068157882488L,5,24
new4551,20848116037473176L,7,24
