名称,状态,最优步数,类型
new99984,20596077698822040L,51,24
new7923,10427795247288184L,47,24
new13002,21465774687020184L,-1,24
new67972,19153536697520024L,65,24
new99588,19540529356566424L,97,24
new2450,20267850133181080L,12,24
new65382,20847884098753432L,6,24
new71927,18025474795301016L,-1,24
new81669,21402863683013208L,8,24
new99593,19540529356304280L,96,24
new104667,11260960652702360L,6,24
new42824,11840916772246424L,4,24
new69990,20429752087397496L,102,24
new59542,11422303187412056L,99,24
new93431,20847849741112216L,6,24
new100012,18414629452345240L,90,24
new93683,9661434514789272L,82,24
new40253,3669896657988504L,7,24
new70325,20288226531264312L,62,24
new5995,1139705123721080L,30,24
new99446,10716966751196056L,-1,24
new12361,2270004671984536L,-1,24
new81790,18177215149909336L,78,24
new14646,2270004671460248L,-1,24
new81687,18177180790170968L,77,24
new8320,2307351558492568L,8,24
new15467,9407447369084824L,74,24
new15500,1526697766252440L,95,24
new85298,20276929416432536L,17,24
new2303,21394059235463576L,8,24
new53416,3400018334344280L,45,24
new11632,9407447368822680L,74,24
new11658,1526697766514584L,94,24
new47652,3387658265734040L,10,24
new97736,18379445063470968L,91,24
new96,20268125002437528L,11,24
new1599,11422003630761080L,-1,24
new14083,20268124968882584L,9,24
new64196,20268126076195736L,13,24
new10069,21394024875725208L,8,24
new79035,2833450720703384L,9,24
new97296,12686191007962008L,0,24
new81791,18177215149909368L,77,24
new81688,18177180790171000L,78,24
new15344,12676296526089112L,0,24
new37621,11307954280361880L,28,24
new43344,365613489672088L,76,24
new47298,400797861769112L,76,24
new65154,21430092694053240L,7,24
new72832,400797844991128L,77,24
new79008,2833450719654808L,9,24
new105717,9089690670778776L,63,24
new6464,11588879509450648L,50,24
new15346,12676296526351256L,0,24
new43877,10533347273830296L,66,24
new43951,400797861506968L,76,24
new60348,12422858768913304L,0,24
new89893,20429753169741112L,102,24
new3057,10533347273043864L,83,24
new40592,400797861244824L,75,24
new44470,11307954280886168L,-1,24
new54818,365615636664216L,73,24
new104870,12703783998526360L,0,24
new15262,12676330886089624L,0,24
new68878,18379498757410712L,63,24
new95215,11840916800557976L,7,24
new68830,18379464397672344L,64,24
new2309,21393784357818776L,8,24
new15115,3400259933873240L,-1,24
new90736,1130043292562328L,62,24
new11224,3388448530541464L,4,24
new65497,21430092685664664L,6,24
new72928,20315152461344664L,43,24
new76389,20596077690695576L,50,24
new83176,18379498756362136L,63,24
new95791,20566374787142552L,14,24
new15394,1421412011954072L,-1,24
new8322,2274634896549016L,90,24
new14031,11422278516794488L,106,24
new27231,3415926875902872L,3,24
new95203,11840916799509400L,6,24
new14852,2256776196040280L,53,24
new45520,12394855901449080L,0,24
new63519,21430058325664152L,4,24
new84469,83316041107864L,73,24
new92330,21683495747537304L,2,24
new99440,20596077690433432L,51,24
new22754,3415926876165016L,4,24
new3951,19540529331399832L,105,24
new23998,9373089769312152L,71,24
new80640,18097989419847576L,76,24
new83137,18379464396623768L,64,24
new63516,21430092685402520L,5,24
new40136,9373089768263576L,71,24
new42835,11281816971420824L,39,24
new47316,10428594086825880L,28,24
new11441,9372262988599160L,75,24
new45411,12395647248403352L,0,24
new97848,18414629443694488L,90,24
new41873,11269747341560728L,1,24
new100006,18414629443956632L,90,24
new38778,10146046457973144L,38,24
new54832,365890514571160L,72,24
new54833,9373089767215000L,70,24
new40053,11589678365765528L,30,24
new89900,20429478292096312L,-1,24
new47557,9091614790176664L,64,24
new12369,2270004680373144L,-1,24
new68787,18379739267190680L,80,24
new15277,3400534803391576L,63,24
new47317,10428594086825848L,28,24
new11440,9372262988599192L,75,24
new15464,9407447360696216L,73,24
new15501,1526697774641048L,95,24
new85680,83041171851672L,78,24
new97838,9407447343918232L,76,24
new2340,21394059243852184L,7,24
new8068,2274360027030680L,77,24
new86701,1129768423306136L,60,24
new11628,9407447360434072L,73,24
new11631,10533347267538840L,74,24
new11661,1526697774903192L,94,24
new14692,2257051065558616L,58,24
new52037,3387658257345432L,11,24
new2187,11422003639149688L,-1,24
new7778,9407447360171928L,72,24
new24136,9372265135591320L,77,24
new83071,18379739266142104L,80,24
new76916,18098264289103768L,81,24
new42857,11281542101902488L,61,24
new47300,400797870157720L,77,24
new55065,9372299493232536L,61,24
new65155,21430092685664632L,6,24
new79110,2833450711266200L,8,24
new15395,1421412011954040L,-1,24
new71368,20429753161090360L,103,24
new35654,10150788623807384L,-1,24
new43953,400797869895576L,77,24
new45519,12394855901449112L,0,24
new63604,21430058325664120L,4,24
new93887,21683495747537272L,2,24
new99586,10533347248663704L,67,24
new71374,20429753161352504L,103,24
new44471,11307954289274776L,-1,24
new104042,18379739268239256L,79,24
new63602,21430092685402488L,5,24
new86562,19422953268163224L,-1,24
new2459,21393784366207384L,8,24
new12077,21395441376322968L,-1,24
new15345,12676296526089080L,0,24
new15358,20596077665528984L,37,24
new43346,365613489672056L,76,24
new65496,21430092694053272L,7,24
new83175,18379498747973528L,62,24
